merges,n_embed,n_heads,n_layers,lr,dropout,weight_decay,scheduler,vocab_size,model_size,val_ppl,train_ppl,val_loss,train_loss,epochs,ckpt_best,ckpt_last,full_config_file,run
200,256,2,8,0.0003,0.2,0.0001,cosine_warmup,460,6564096,11.09883975982666,11.244375228881836,2.4068405472604852,2.419868090175304,30,../checkpoints/GPT/hparams_search/best_hps_250827_095358_47efe79a.pt,../checkpoints/GPT/hparams_search/last_hps_250827_095358_47efe79a.pt,../checkpoints/GPT/hparams_search/hps_250827_095358_47efe79a_hparams.json,hps_250827_095358_47efe79a
200,256,4,8,0.0003,0.2,0.0001,cosine_warmup,460,6564096,11.13187313079834,11.10074520111084,2.409812381142064,2.4070123036702475,30,../checkpoints/GPT/hparams_search/best_hps_250827_100107_58da4bf0.pt,../checkpoints/GPT/hparams_search/last_hps_250827_100107_58da4bf0.pt,../checkpoints/GPT/hparams_search/hps_250827_100107_58da4bf0_hparams.json,hps_250827_100107_58da4bf0
200,256,8,8,0.0003,0.2,0.0001,cosine_warmup,460,6564096,11.495929718017578,11.259078025817871,2.4419930709035773,2.421174828562451,30,../checkpoints/GPT/hparams_search/best_hps_250827_100827_01aaaee6.pt,../checkpoints/GPT/hparams_search/last_hps_250827_100827_01aaaee6.pt,../checkpoints/GPT/hparams_search/hps_250827_100827_01aaaee6_hparams.json,hps_250827_100827_01aaaee6
200,256,2,4,0.0003,0.2,0.0001,cosine_warmup,460,3416320,11.694036483764648,12.490792274475098,2.4590791240491363,2.524991868798289,30,../checkpoints/GPT/hparams_search/best_hps_250827_095154_05b467e4.pt,../checkpoints/GPT/hparams_search/last_hps_250827_095154_05b467e4.pt,../checkpoints/GPT/hparams_search/hps_250827_095154_05b467e4_hparams.json,hps_250827_095154_05b467e4
200,256,4,4,0.0003,0.2,0.0001,cosine_warmup,460,3416320,11.747055053710938,12.327214241027832,2.4636024716025906,2.5118093380291255,30,../checkpoints/GPT/hparams_search/best_hps_250827_095902_a06ddedb.pt,../checkpoints/GPT/hparams_search/last_hps_250827_095902_a06ddedb.pt,../checkpoints/GPT/hparams_search/hps_250827_095902_a06ddedb_hparams.json,hps_250827_095902_a06ddedb
200,256,8,4,0.0003,0.2,0.0001,cosine_warmup,460,3416320,12.315386772155762,12.771488189697266,2.5108494969418174,2.5472153303625706,30,../checkpoints/GPT/hparams_search/best_hps_250827_100617_75fe5b6a.pt,../checkpoints/GPT/hparams_search/last_hps_250827_100617_75fe5b6a.pt,../checkpoints/GPT/hparams_search/hps_250827_100617_75fe5b6a_hparams.json,hps_250827_100617_75fe5b6a
200,256,2,2,0.0003,0.2,0.0001,cosine_warmup,460,1842432,12.365412712097168,13.66454792022705,2.5149033877724096,2.6148046920728234,30,../checkpoints/GPT/hparams_search/best_hps_250827_095047_bbfc7895.pt,../checkpoints/GPT/hparams_search/last_hps_250827_095047_bbfc7895.pt,../checkpoints/GPT/hparams_search/hps_250827_095047_bbfc7895_hparams.json,hps_250827_095047_bbfc7895
200,256,4,2,0.0003,0.2,0.0001,cosine_warmup,460,1842432,12.404138565063477,13.467329025268555,2.518030170641447,2.6002668065854304,30,../checkpoints/GPT/hparams_search/best_hps_250827_095755_3cc6701e.pt,../checkpoints/GPT/hparams_search/last_hps_250827_095755_3cc6701e.pt,../checkpoints/GPT/hparams_search/hps_250827_095755_3cc6701e_hparams.json,hps_250827_095755_3cc6701e
200,256,8,2,0.0003,0.2,0.0001,cosine_warmup,460,1842432,12.998099327087402,13.99797534942627,2.5648030170641447,2.638912792586879,30,../checkpoints/GPT/hparams_search/best_hps_250827_100507_90892a88.pt,../checkpoints/GPT/hparams_search/last_hps_250827_100507_90892a88.pt,../checkpoints/GPT/hparams_search/hps_250827_100507_90892a88_hparams.json,hps_250827_100507_90892a88
200,128,4,8,0.0003,0.2,0.0001,cosine_warmup,460,1709184,16.650543212890625,18.627025604248047,2.8124428036338402,2.9246135515118747,30,../checkpoints/GPT/hparams_search/best_hps_250827_094545_26429bff.pt,../checkpoints/GPT/hparams_search/last_hps_250827_094545_26429bff.pt,../checkpoints/GPT/hparams_search/hps_250827_094545_26429bff_hparams.json,hps_250827_094545_26429bff
200,128,8,8,0.0003,0.2,0.0001,cosine_warmup,460,1709184,16.948320388793945,18.726573944091797,2.830168810392681,2.9299436482972028,30,../checkpoints/GPT/hparams_search/best_hps_250827_094859_cf6b3d95.pt,../checkpoints/GPT/hparams_search/last_hps_250827_094859_cf6b3d95.pt,../checkpoints/GPT/hparams_search/hps_250827_094859_cf6b3d95_hparams.json,hps_250827_094859_cf6b3d95
