merges,vocab_size,K,beta,R2,util_now,compression_ratio,chars_per_token,tokens_per_1k_chars,N_star,V_end,V_hat_star,util_star,train_K,train_beta,train_R2,train_util_now,train_compression_ratio,train_chars_per_token,train_tokens_per_1k_chars,train_N_star,train_V_end,train_V_hat_star,train_util_star
10,270,54.05067939426334,0.023016304372448997,0.7901113976394828,0.26296296296296295,8.401437682701772e-05,1.107602035517707,902.8513562929555,481450,71,73.04533497791978,0.2705382776959992,60.57017564788351,0.012248637046166373,0.8379302615229295,0.2814814814814815,1.0861516298695496e-05,1.1071344389891624,903.2326741755243,3987980,76,72.96407153480791,0.27023730198077006
30,290,72.43781549941245,0.01966142587236498,0.7066750864209479,0.3137931034482759,0.00010905484465560553,1.2711529064015923,786.6874197147706,419505,91,93.43645962909535,0.32219468837619086,80.51303030907269,0.00953594861567867,0.8414142769006512,0.3310344827586207,1.389493144753773e-05,1.2709135708652124,786.83556689006,3474060,96,92.94783133654138,0.32050976322945307
50,310,87.93940249582378,0.020722641367784896,0.5318572944875628,0.3580645161290323,0.00013458761066841856,1.386861029115356,721.0527796270078,384505,111,114.79353542058774,0.37030172716318627,100.1548425573207,0.008069375937818105,0.8306273808296816,0.3741935483870968,1.6987196006277766e-05,1.385648380617625,721.6838080915377,3186400,116,113.01849701071843,0.3645757968087691
70,330,100.79850581982285,0.02396855951890038,0.48085988925982537,0.396969696969697,0.00016056873149135407,1.4640611701397468,683.0315702618823,364230,131,137.0099977595192,0.4151818113924824,120.13723617467836,0.006823522064912465,0.8308447791747894,0.4121212121212121,2.013307880367768e-05,1.4645183760116758,682.8183356246446,3014800,136,133.01144144021174,0.4030649740612477
90,350,112.42603981877829,0.027472472570945816,0.49265529862422464,0.43142857142857144,0.0001869609869291371,1.5320998118113516,652.6989901641804,348055,151,159.62822419664536,0.4560806405618439,138.91997401142976,0.006614196631286167,0.804102714970691,0.44571428571428573,2.33281472144048e-05,1.5306212299798931,653.3294981235405,2884600,156,153.28263933321116,0.43795039809488906
110,370,118.21155529365252,0.03422916138890237,0.5140252777450045,0.4594594594594595,0.00021248260217434864,1.5872101675744859,630.0362865795914,335970,170,182.73450578962763,0.49387704267466925,152.04891306935656,0.009322356979791672,0.8689527748035146,0.4756756756756757,2.6568603466206585e-05,1.584581372897354,631.0815065126844,2786370,176,174.60885812108322,0.47191583275968435
130,390,121.28262890342774,0.04258443638748646,0.546888115835974,0.48717948717948717,0.0002395946767394976,1.6374593133943376,610.7021968851675,325660,190,208.23636198964007,0.5339393897170258,171.67404194142068,0.008492049078797083,0.859311552364584,0.5025641025641026,2.9851161871361383e-05,1.635303682112043,611.507214799682,2699945,196,194.67940669335496,0.49917796588039737
150,410,127.39517516427071,0.04778630670530827,0.5650682290267375,0.5121951219512195,0.00026703494647497205,1.6842911514347532,593.7215778567478,316605,210,233.3471008196579,0.5691392702918485,191.30928226209204,0.007820610549304498,0.8471398393536325,0.526829268292683,3.317295513011879e-05,1.6835027233956559,593.9996330881969,2622645,216,214.75065853597997,0.523782093990195
170,430,132.91128660140288,0.05264500452174093,0.5835620412995067,0.5348837209302325,0.0002947822153867486,1.724460757365068,579.8914215525406,309230,230,258.5816859923498,0.6013527581217437,207.3301896743302,0.008667619222273848,0.8526963982504348,0.5488372093023256,3.653146170512196e-05,1.7227711955175165,580.4601345796254,2562865,236,235.61934227170605,0.5479519587714095
190,450,130.73777697327736,0.06253844134812685,0.6111187872200381,0.5555555555555556,0.0003228177211483395,1.7579738572864985,568.8366728863302,303335,250,287.8935840097512,0.6397635200216693,224.42152936894968,0.009006344212966484,0.8346189966163304,0.5688888888888889,3.992444874317776e-05,1.7604164174700765,568.0474176883197,2508060,256,256.2708195089391,0.5694907100198646
